methods,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80
NCC052_spine,19.5860724983068,24.903015944199,12.17537497584,17.1676039649044,16.3247092481798,17.8312970227547,14.16203542965,16.5850033104447,16.3039420162127,14.8783042411805,16.7957156034726,17.8804549805107,15.4741044634108,19.5475038403911,18.3128338015488,16.7330801627433,17.9892557317111,17.693667635509,16.3882556714457,18.0870442878358,15.9061841928493,20.1587771884579,20.0261177170032,15.0165435788555,16.4793098668917,18.3244730304832,21.9034012948842,19.4587490215384,15.8006658349164,21.2883981404443,15.4932931035199,15.647032342519,15.3974347499957,23.9111712708619,10.7921026053297,18.9384373828191,15.5034527646865,15.0314296823394,16.0592763691585,19.4409793546077,14.9828663371244,15.1112696590033,17.3378720615182,14.6144091085364,14.0648606517676,14.6473277721608,11.3999483723429,18.0720724509016,14.9486562431779,17.5484168988212,13.3646406178517,12.8559842301034,15.7756255871364,14.6965188500329,11.0573003538349,21.2759688190525,16.2649919491591,7.23907769575996,13.8372257253133,22.2532145895187,19.3228801970908,22.0693421469502,25.5285582070928,12.3115742383232,12.3158145757994,15.5842070881069,14.1006188326027,21.1215835633773,16.8656258581341,15.2710897082248,12.5483993536575,15.6612402946851,20.5793187678595,17.1679077111359,7.55291402374076,23.0280524367573,18.7272482647131,19.8371311467062,17.9002981541878,11.8154601592762,15.5662541566643
MSE052_spine,14.1852507774917,14.0706352648547,10.2147089034119,13.1748332865692,14.6759591724924,14.7609954111077,10.8095524095945,12.7483159625559,14.4612416499725,11.9772121781202,13.6080598394859,16.5985865115896,14.5949624741141,14.5291600730679,15.2461923872992,13.0385580180225,14.0027099711984,14.268400923307,14.6680847347895,16.9666199026197,13.4874473129169,18.4358766052154,16.821377853372,13.1356978797252,12.827119582993,14.917762548568,15.3541295700651,15.4849525604087,12.1007654797463,17.491996123487,13.9921950989567,15.9160242140806,13.4517461467672,18.8877216173092,8.40878240487426,15.0973417798101,13.2112898316213,10.7846248110888,13.3073596889888,16.2574149916107,13.861738646698,12.9338931591656,13.4482765499552,10.7305151415793,13.7435292516923,12.8136416798055,9.97792573699935,15.578475000901,11.9665692246755,14.6951849233904,11.3043650566484,9.19532932046418,12.1027970861385,12.7850125792649,9.85753371572229,16.3017886939773,13.0672287873603,5.10638242056106,11.976620239486,16.7915162640498,15.698073466901,19.0193154104783,18.2462979110824,10.9904835561335,10.1373549253093,13.3552167583839,12.7175307918674,17.4178201023618,12.3917605545838,14.3936651789004,12.268171982759,15.1373321536647,18.3394661564515,15.1391204912923,5.69330137235954,15.8422330931272,15.9548831581586,15.173193821447,15.9641079590867,9.85432585939055,14.0059289356586
NCC02_spine,18.5545139123596,22.9927247503386,12.0124594477406,16.5189627459703,15.551363866194,17.320588014541,13.8050255256206,16.5393364692169,15.7077168869441,14.6774176519181,16.0659687110265,17.3082603200201,15.3903727072963,19.4479848588243,17.9443664412749,15.8035124364911,17.5848864730776,17.5867377804085,15.7148466059473,17.3538449941549,15.7792056323884,19.1290231861114,19.262270266683,14.5773901829919,16.0208197426038,17.8971149794651,20.3716649554293,19.1432241450299,15.8444291590869,20.3570309421158,15.3868264256747,15.5985771829266,14.8458939640436,22.3517857722158,10.6700928870707,18.998171179715,15.3732355209095,15.058042642874,15.6988637097747,18.7438798878732,14.912670268863,15.4364532184098,16.9529277076867,14.1662341033034,13.9847562957082,14.2299606735029,11.3481452379463,16.8891189716701,14.6219727520213,17.023102499052,12.7940369988448,12.7720442139432,15.3596206673307,14.4138614075188,10.7019063578525,20.9198233938621,15.6732859474932,7.3487216124119,13.5416215639606,22.0257908123277,18.4204930525813,21.3466460208697,24.1455332793596,11.8232410156287,12.0324763146373,15.4567897077056,13.0548251236572,20.6294160927102,15.7722819160998,14.6409617979631,12.401422576299,15.4030175314775,19.8551408386872,16.7856872062352,7.63014431498346,23.2491201377648,17.9150368754619,18.8558448903912,16.7897791638967,11.2371547416127,14.772310267289
MSE02_spine,12.8133400172261,18.9529645564931,8.89548729335263,12.9682785624549,11.4261740157991,11.7218213098726,10.4911583925686,11.4370085488489,12.2414213963498,10.8766482460691,10.6398379161944,13.6142224460203,12.2459008021808,15.6257877110389,14.382827708473,12.1624745223847,12.0368670535695,11.2246619878288,11.4475090694425,12.1422489481297,12.4766178619532,14.5565404147096,14.1710668891412,11.0094545583309,12.1344727731777,13.3808253084539,15.4258713063177,13.322547530506,10.568678805229,15.5077592698489,11.9851089076353,13.7348850633835,10.5558170158974,17.5293851273716,8.64353772201583,15.4902732605152,10.3222394099469,9.57935843345552,12.5848181357782,14.7724736706872,13.1857309941205,12.9596226433579,13.6582292579796,10.7350376509927,11.044539709861,10.3602664381653,8.52920922669927,13.4368109322189,11.5197627204279,13.0526895965798,10.9833215691335,9.45643687123405,10.9820054328841,12.3098239930465,9.59233260322879,15.9535767822011,12.3026826769535,6.0005039208135,9.83695674158595,15.7997302516382,15.7658030323264,15.374974235824,18.1443821598274,8.3709482399097,9.03374194621477,11.9844487522499,11.6595223183881,14.3275906232175,12.1761635323974,10.188835656331,11.3623290440964,11.4018550898147,17.0757640231206,11.925989405217,6.48180614321641,17.3531040287613,14.11329665774,13.9127641838583,13.3069623896675,10.3192069339851,10.6485543906266
NCC052_csf,13.7695444066759,19.8537900038505,7.08573856805131,11.9878978425899,9.76452079157826,10.2839537592673,7.8787964269064,10.3024539366713,9.77235202723784,9.76628023283017,9.69522369636504,10.3234259968782,9.37295812046944,12.8824890997251,11.2177179114894,11.4586544437529,9.82010195812249,10.253773269583,10.172695556043,9.70153501551661,10.7455336818959,12.0819513914085,12.1538788722565,8.92683175683616,11.729879015802,13.4863659828808,14.6725489489932,11.9367313468222,10.9947010142355,13.5910494967599,9.71538787421792,9.08435716588004,9.11067421057812,15.0332003068045,5.94841527989559,12.0669788080693,9.93431191533326,11.2328994947141,10.4442394790665,12.6188615654396,9.59629886676363,10.3814690834364,10.4098565605176,9.29910110824456,8.97970414509987,8.79875109751589,6.77008073054967,10.1533735300565,8.85728216652115,11.0712399050599,8.50003256300574,9.97865876869371,9.50358391615958,8.68535803515004,7.24813390534991,13.7559948633179,10.57718478647,5.29112686141465,8.319905184583,14.1617655910348,10.4905284835834,14.1829128625852,15.0195151518748,8.03094226995406,7.35118451721059,9.65437882456077,8.01660175472482,12.5926688481031,11.5456057203463,9.0590128520005,6.66914190696559,8.57618449449813,11.6659263896104,11.0423265249626,5.05362794798039,16.8756716901892,10.8330805865431,13.7204897602873,10.6146708401583,7.51646405414386,8.38025974007918
MSE052_csf,12.4734042437212,10.5456685020921,5.16332911824945,9.23679285633823,8.54030190367899,8.89356133680201,5.80266330798497,8.2686752120823,8.73512681604162,7.68928442678137,8.21434316139933,8.56846332690783,8.52338448495805,9.25650344968741,9.43437144253187,9.42096936218755,8.1521622646308,9.02183958130736,9.74922062537646,10.462624122429,8.26016843183529,11.0108923172084,11.3545722592789,7.63500491317439,9.8408854020192,10.9446622267441,10.7681511181857,9.21234532007526,9.61071538094603,10.6754704635415,8.44324547851162,7.50886700551177,7.78705316627087,12.7859597328449,4.37471090531116,8.83455815652185,8.49099787135184,8.30447146947714,7.95721670673744,10.943701827869,8.00790029371697,8.6751621279344,8.10137753278099,6.4241993661122,7.75163711713685,8.3589263770224,5.08062035458766,9.65152691655112,7.25219006220328,8.91000660276894,7.32598457241861,6.16801109958608,7.83021293342084,6.73505320292566,5.65832804293116,10.7013524377258,9.25982633600344,3.45019773967685,7.50817384680656,11.4220282321572,9.06905035477768,14.5659004714393,10.6025277719872,6.46348836638012,5.65919181332121,7.5469106427531,6.5139208367404,11.3739301557377,8.48876158064256,9.00049087773829,5.34736602960736,7.63676619771659,9.45942276465851,10.7589997677043,3.49700767385494,11.9845384061393,9.94737997216751,11.8823171256143,10.0453815382138,5.70190807516243,8.201033090503
NCC02_csf,13.3166979080809,19.3188934089072,7.08592283418794,11.8181588865402,9.51915008040239,10.3098007140584,7.91415632865744,10.445786846206,9.60507150774205,9.677263645906,9.72266671229938,10.0950075626533,8.99918278330243,12.7949043380665,11.0222657050266,11.1790621513497,9.7872330864193,10.0989788634218,9.94782716060435,9.34274797667691,10.6648976926482,11.7029262530511,11.5616395550983,8.88983611685127,11.5532222145535,13.6631055062904,14.5285007259858,12.0710186356011,10.9379253319764,13.5376909952324,9.45054981095676,9.1049819605995,8.97320381208834,14.7135572631278,6.05079332521793,12.157064810789,9.90478672268761,11.2835875863642,10.500015593641,12.404339762112,9.55248738273172,10.2588208055083,10.511320602835,9.41721520747643,8.97972616240135,8.67681947753028,6.82845992217179,10.0604657180973,8.7643372423088,11.224402509415,8.49994746054768,10.2800348800348,9.44142021206338,8.56097449449379,7.28127646503171,13.4896215615342,10.4410066263856,5.40378621406925,8.34668640371592,13.8849161450524,10.1237939272022,13.6086839063302,14.9508377396765,8.04273864947544,7.42738515753364,9.71022640173055,7.94483855607694,12.2828490922962,11.4599437196217,8.79627834166249,6.74280068456986,8.56929528315391,11.4236414355766,10.7781472397622,5.11882005600606,16.5171423232653,10.4721949871669,13.5426381823919,10.3652615052877,7.50990331540077,8.10928383867393
MSE02_csf,10.7691112717496,14.5884668381427,5.51035994983896,9.26062069895845,7.98468656437758,8.31468851165057,6.21593339661302,8.05373439826397,8.0749887599081,7.90655599770587,7.7650247110776,8.14692868063528,7.44283637123488,10.0816721989184,8.81583159926017,8.75928005913714,7.63595778432279,8.07275071118769,8.18389477233616,8.0215377973759,9.05127213796577,9.85419775339977,9.45841701292771,7.81113033665852,8.84261508226658,10.7713815086304,11.1908446583692,9.12862477241033,8.94129283174614,10.4577500809455,7.38030406515934,7.6851435942344,7.3180983770272,11.6190652331526,5.00959314967873,9.33765683990468,8.39578934095414,8.57708123983764,8.15104177586413,10.2298821762469,8.17834430740992,9.26778232958155,9.1842423636145,7.03806820973812,7.74820499772776,7.1526370467737,5.31889443926949,8.7679020207966,7.60801716031388,9.17802871728088,7.66059903606871,8.18371507983549,7.65845716214705,7.4385588743937,6.10353607725205,10.7261005790075,9.11669243827082,4.322939552497,7.0816233281503,10.7618117655827,8.08835549803172,10.9737878573141,11.2815740626885,6.45015033123407,6.81150014713838,7.59816806999972,6.89822495056062,9.7135012817458,9.09206106448115,7.43472959309036,6.20453603408574,7.51604989755517,9.2919988167579,9.49861864756048,4.33086925709674,12.1378746580869,8.99450377256741,10.901666112415,8.59586685669052,7.04062687743013,7.02623340066517
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NCC051_csf,13.8148790709015,17.6212618772627,7.22371753669854,11.5152114654605,9.87420654013578,10.2251917524233,7.900959805422,10.2194906969789,9.50932020817283,9.76628333380744,9.36847785430984,10.0895380522706,9.07422418357108,12.414260712383,11.101091917446,10.6908099268348,9.67069126715198,10.5477886777558,10.17343105386,9.82856984293897,11.0362198071463,11.917652434545,11.486339815288,9.32865173077133,11.3127904925174,12.9275140021338,13.5767603739678,11.4187540302901,11.8278943121285,13.1125889030669,9.41148068817172,9.08032765727315,9.03042323522689,14.5174936700741,6.06636816751236,11.527797917638,10.0942233131284,10.8068569963743,9.86099801282194,12.6529409740238,9.86006623448454,10.4840012264851,10.7975463281717,9.11505029190357,9.15697360280212,8.70545324455334,6.732458147961,10.6294859447707,8.61701750778269,11.047139670588,9.1272344220924,9.48909688092243,9.34096825649337,8.39081100951636,7.09926909949334,13.3290625274271,10.4701086414772,5.4870971630449,8.42276672255501,13.7556831116128,10.2055881110652,14.1256059854645,13.7073789237691,7.90121673335595,7.43029051461198,9.30266986012024,8.15114091504415,12.2702365217626,11.1676873137393,9.11545561898464,6.7890930253483,8.52757694911182,11.1353936600265,11.5027804816096,5.17047074550868,15.7412964240468,10.5269166026032,13.4410779558901,11.0530893678704,7.87894801984062,8.73497985725986
MSE051_csf,12.3556577755135,10.4352464921101,5.79459846056323,9.537815263741,9.1186310446049,9.12896080961668,6.40907051636286,8.5252574094269,8.89972757270507,8.01000439162869,8.6580828810234,8.7152218944094,9.41382332863852,9.52179647651457,9.80433195242099,9.54096290067193,8.29938183180756,10.3830057675066,10.2568066606754,11.5183105402938,9.03747854773003,11.667731927523,11.6450123840189,9.45424176838145,9.91643147985389,11.0043140179852,10.7331746716936,9.597880088592,9.83999149652458,10.9841157009391,9.10238551105627,7.96429089279168,8.37890897717207,12.5961864677123,4.88031487069921,9.11704023292928,9.03315397256152,8.90559467445805,8.15279737457918,11.456062470517,8.79674169738426,9.68340955162139,10.1925755404059,6.50952148502954,8.41922129277221,8.81845408671352,5.66052802999579,10.5773938555252,7.67209526673476,9.45365515208445,9.15126331322279,6.29834782741095,8.08922293891255,7.85009837848222,6.04462710207486,10.8469264862523,9.92322950527245,3.70773046395395,8.41586421159406,11.068560463839,9.21930200243008,14.6380121783006,10.668030686108,7.01817608140744,6.67811520058143,8.02068409094865,7.23040430921769,11.4722306663656,8.56811008915138,10.051576625221,6.17160614163242,8.2023278713815,9.747808657798,11.2587326989378,3.75882092924869,11.5783411080964,10.1728116775167,12.1189824235284,10.663717515076,6.72006488535212,8.98302904499885
NCC01_csf,15.4230057964412,21.3774944218109,7.21525852072398,13.1290047295979,10.7611818935474,11.5532062293779,8.28426259379839,11.9502163855854,10.7357721101127,11.2052176434354,10.8788251850181,11.9168099495821,10.2207364937798,14.5111296551695,12.6328329394688,12.750297381348,11.0875170042021,10.9408442513842,11.4516341308923,10.4132315934914,12.5625794574518,13.9131229655464,13.6314494222558,10.2453174615361,13.2440889859949,15.6903003420745,16.9384634166712,13.8415009681563,12.527257436489,15.36969816218,10.5120833636818,10.1742015501914,10.0640051506509,17.682415542568,6.23114217118391,13.1368915751036,11.1985789872897,12.200710467945,12.0016638423142,14.6040050390681,10.7345791922427,11.7955834837824,12.0101972424648,10.3382403618536,10.2073480883375,9.69974476923262,7.03756870059725,11.4188252242862,9.70448099668161,12.9789603999117,9.65454533273236,11.2828728625442,10.6170162276863,9.44513396544143,7.75846145101496,16.1907909433627,11.9951260455099,5.52713698324753,9.2899368180392,16.6428798037679,12.1290896811927,16.0049264310189,16.4544211201921,8.58693539251112,8.15225573525844,10.6218029545085,8.75174868495218,14.3066047734751,13.0553883475937,9.82948650441995,7.42616209667194,9.77232100556925,13.0650771707848,13.1012394678077,5.36959466082206,18.9770322497369,12.3807826295368,16.1432462292532,11.8084544688978,8.43065465061037,9.39386364960696
MSE01_csf,14.4814551143423,22.25147216808,7.15840964277672,12.5369309708137,10.3908877373377,11.0672911417817,8.20629605349377,11.3195105892858,10.4704628252852,10.2851706053067,9.92925260579868,10.9578177069119,9.53075207807598,13.6650530285509,11.8444889425621,11.8216030975527,10.2413255886607,10.3440601686389,10.5737760636654,9.5595013647756,11.8552287813291,12.3757942091377,12.0123596510296,9.3918860371982,12.2666648430412,14.4012112458988,15.4818981243354,12.4430618341967,11.698706321667,14.6534405072117,10.1125417370802,9.84553335089744,9.48210894136256,15.5612824353829,6.3609905929069,12.7984777203787,10.4976556117851,11.767030609848,11.5558558179964,13.6642251804415,10.2708906824862,11.5739871864761,11.688852619339,9.84754089858718,9.42860900264751,9.00792494603351,6.78102072431549,11.081686268309,9.73460885000435,12.586141697688,9.59257374529994,11.4964908846908,10.0507235575037,9.1179974768873,7.56209329575318,14.9693366057866,11.8387668077743,5.70932297024683,8.42676259180746,14.8552931543479,11.4820019678679,14.3059496055036,15.8217237012994,8.52754860798631,8.03455442431642,10.2833559794811,9.05377447076478,12.7667850558499,12.0391008801233,9.1176915100274,7.53100787383659,9.37527615508231,13.093742156191,11.901619641006,5.63673328236311,17.221661376513,11.1543882694019,14.4101584166699,11.0736721074862,9.13687804573194,8.53976002676169
NCC051_spine,18.1784237887477,20.2910116572641,12.5563340278074,16.4830952615509,15.8529621961242,16.6267013200366,13.5064194411579,15.5743407285996,15.1405134355697,14.6095002985666,16.8591062404908,17.3328909418676,14.9365193133965,18.8862564842722,17.6886815804604,15.5293291271873,16.3079087594581,17.9556654716399,15.7381583490268,17.3556379785376,15.6501033675704,19.8668381152903,19.4043158637545,14.7143061367691,15.2895437548836,17.9277350010314,20.2645915114918,18.3747036100797,15.6781647572937,20.8562106232803,15.2981583076041,15.6703903639602,15.1371506908628,22.9664297703093,10.439225885358,18.1190184098334,15.383145827354,15.1001183786423,15.1404833572762,18.8252558907647,15.7107767058174,15.4309428157291,17.0974507535263,13.9540522528567,13.7746326995741,14.1818499592035,11.8975619263723,17.7848801919564,13.927653234243,16.311211831507,13.3043783930754,12.1090362923866,14.263565407993,14.8756350029042,10.8139151725353,20.4596195210939,15.3501118216671,7.15592269244887,14.0113091558246,20.7857300653034,17.1601030446619,22.3777489589714,22.4818238271264,11.9414370498483,11.8027604721525,15.1656532720533,13.6030818527048,20.1089098025078,16.423466290629,14.9336246763345,12.1836168964071,15.1308906743456,19.4374417666456,17.2499574943338,7.83819550550366,21.5892843033432,18.1432426383728,18.9350396629448,18.2640109115562,11.3010605280883,15.0629415761501
MSE051_spine,14.1310759035589,14.021492709776,11.2978226739339,13.4838702154628,14.334558955843,14.92662421681,11.016713959253,12.8089122844117,14.594628952581,11.8538096162531,13.8062569898217,16.1557363313642,15.0460514466759,15.1226946292016,15.4436689894554,13.157104803434,13.8803723148496,14.1390141339365,14.9786842399613,16.7994378813971,13.6880980568913,18.5141316054744,16.8765379890299,14.4595009155037,12.7440130639305,15.2074852558173,15.6831211515498,15.9353959520464,12.1403257068607,17.1223661990612,13.7553831685705,16.244870976408,13.1835375363426,18.6482593433253,8.94656096201626,15.5150131075177,12.9117792402096,10.7490396447489,13.448578110244,16.3319206711155,14.4185130812576,13.3949119776185,15.3190191228496,11.0163798669162,13.7950747645951,13.1145861074496,10.4339232968751,15.7536702481464,12.4567371423997,14.3702095311088,13.1577098189107,9.3642101245134,12.4247094425438,13.6378874296517,10.2517239467487,16.3567930206989,13.2613999870271,5.37105856560411,12.3736286414282,16.4275157775716,16.3505578232009,19.0148727813831,18.5156487073033,11.1032529915988,10.9906897396148,13.3771241548672,13.5156267995861,17.6195906075155,12.9110051346482,14.8186142151257,13.4184604696107,14.9141536075143,18.5229087009874,14.9947178118343,5.83770151982517,15.6791359166886,15.9648927072033,15.5928978392406,15.9209267275058,11.0816800211146,14.4860810009796
NCC01_spine,19.2881856663889,25.2836940030551,12.7698380485266,17.3715236962693,15.940311051174,17.6024563453826,13.5942871928042,16.9634228214684,15.6369547809041,15.6650947962591,16.8701329666566,18.8408087876533,16.8506449024105,20.4216853177256,18.8908585479187,16.7526136688988,16.9854390529657,16.004421090749,17.7955790317765,17.5807372786681,17.3060614059924,20.2400700336517,20.801743823677,14.8326621548463,16.3940285288815,18.5167041806074,22.6184904200774,20.108348586275,15.6910472218196,20.8780969867778,16.6294714232072,16.5560624277645,14.9355084149321,24.2910557268877,10.6494192359451,19.5908758811234,14.9821545932894,13.7625390611865,16.8741512292569,20.3060804858934,15.9906837634087,15.6369245386181,18.6328054409463,14.727739120947,14.6651611790849,15.4726747152952,11.7718282844236,16.969158477414,14.0595901051809,17.9774374928554,13.010790762517,13.3100274464366,14.7770721642601,15.187318204264,11.6749717528233,22.9689915416676,16.3380861009694,7.63452263497202,13.2984262836852,22.097333069096,20.0631656668979,22.714224585358,25.5119593245363,12.0921705529981,11.7306758735305,16.6739682932363,13.2861380579226,20.9211889513105,16.9882496395645,14.4459609709749,12.705325285877,16.6464909626292,20.0508229660546,16.8815118898263,8.16511737062907,25.9123670878218,17.822071051702,20.5832079524721,18.0595376792395,11.3318758199218,15.067443690754
MSE01_spine,17.4234273872755,28.434709382354,12.250207902545,16.5497091411539,15.3827222889843,15.515133746073,14.3088597925714,16.6964617431959,15.5090023101561,14.8087905947636,14.2998083223063,18.6799274813006,16.5545839441024,20.8469576834281,19.088154303556,15.6192797099638,16.0458326348434,15.320378168937,16.1833848426904,15.6431166479391,17.5436476339369,18.1533446426634,18.5620853087425,14.218501308192,16.0876605396693,18.6743930576278,19.9003055770763,17.5372916066648,14.3605751320685,20.0033870805502,16.1078747606539,17.9853046787462,13.7621655175994,21.9551361788057,11.2702324543199,20.2534743716858,14.5840768041459,13.3824867122151,16.3415534606836,18.5657678206605,16.0632835809781,16.570240290676,18.5245178003055,14.6557012909835,13.25747785227,14.6627176642007,11.9210589124903,16.0692140233801,15.0708843069678,18.1652998173169,13.3481151570865,13.8086906585851,14.6964441736077,15.4600560566341,12.6447518868637,21.3040349428348,16.1372818316298,8.41325432357273,13.6060319147187,21.3204945900168,21.047418648752,19.0802382881708,25.2724143110779,12.7945390903341,12.644170679884,16.2563870812134,16.2217630553043,18.7943814047833,15.9712884389103,13.6150091607361,14.068896387985,15.5378935471157,21.7700965545061,16.3062745607533,8.80841488172437,24.9996843733941,18.4114813253297,18.8094559816579,16.9001621945137,13.0695196002844,14.0385703975667
